sra_accession	bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	filename9	filename10
SRR4309551		508	508	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2559		fastq	Run-1412_508.1.1.fastq	Run-1412_508.2.1.fastq								
SRR4309552		508	508	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2560		fastq	2005-2006_508.1.1.fastq	2005-2006_508.2.1.fastq								
SRR4298689		509	509	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2561		fastq	Run-1412_509.1.1.fastq	Run-1412_509.2.1.fastq								
SRR4309391		14	14	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_14.1.1.fastq	2007-2008_14.2.1.fastq								
SRR4309392		14	14	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_14.1.1.fastq	Run-1304_14.1.2.fastq	Run-1304_14.2.1.fastq	Run-1304_14.2.2.fastq						
SRR4298691		510	510	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2562		fastq	Run-1412_510.1.1.fastq	Run-1412_510.2.1.fastq								
SRR4298692		511	511	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2563		fastq	Run-1412_511.1.1.fastq	Run-1412_511.2.1.fastq								
SRR4298693		512	512	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2564		fastq	Run-1412_512.1.1.fastq	Run-1412_512.2.1.fastq								
SRR4298694		515	515	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2565		fastq	Run-1412_515.1.1.fastq	Run-1412_515.2.1.fastq								
SRR4298695		517	517	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2566		fastq	Run-1412_517.1.1.fastq	Run-1412_517.2.1.fastq								
SRR4298696		520	520	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2567		fastq	Run-1412_520.1.1.fastq	Run-1412_520.2.1.fastq								
SRR4298697		524	524	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2568		fastq	Run-1412_524.1.1.fastq	Run-1412_524.2.1.fastq								
SRR4298698		525	525	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2569		fastq	Run-1412_525.1.1.fastq	Run-1412_525.2.1.fastq								
SRR4298699		528	528	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2570		fastq	Run-1412_528.1.1.fastq	Run-1412_528.2.1.fastq								
SRR4309563		529	529	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2571		fastq	Run-1412_529.1.1.fastq	Run-1412_529.2.1.fastq								
SRR4309564		529	529	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2572		fastq	2005-2006_529.1.1.fastq	2005-2006_529.2.1.fastq								
SRR4309393		15	15	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_15.1.1.fastq	2007-2008_15.2.1.fastq								
SRR4309394		15	15	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_15.1.1.fastq	Run-1293_15.2.1.fastq								
SRR4309565		530	530	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2573		fastq	Run-1412_530.1.1.fastq	Run-1412_530.2.1.fastq								
SRR4309566		530	530	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2574		fastq	2005-2006_530.1.1.fastq	2005-2006_530.2.1.fastq								
SRR4309567		Brisbane	Brisbane	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	Run-1293_bris.1.1.fastq	Run-1293_bris.2.1.fastq								
SRR4309568		Brisbane	Brisbane	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	Run-1304_Bris.1.1.fastq	Run-1304_Bris.1.2.fastq	Run-1304_Bris.2.1.fastq	Run-1304_Bris.2.2.fastq						
SRR4309569		Brisbane	Brisbane	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	2007-2008_Brisbane.1.1.fastq	2007-2008_Brisbane.2.1.fastq								
SRR4309570		Cal-H3N2	Cal-H3N2	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	Run-1412_CAcontrol.1.1.fastq	Run-1412_CAcontrol.2.1.fastq								
SRR4309571		Cal-H3N2	Cal-H3N2	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	2004-2005_Cal-H3N2.1.1.fastq	2004-2005_Cal-H3N2.2.1.fastq								
SRR4309572		Cal-H3N2	Cal-H3N2	WGS of Inlfuenza A virus :Plasmid control	WGS	OTHER	PCR	paired	ILLUMINA	Illumina HiSeq 2500	This is a plasmid control used to call sequence variants. Each segement was cloned out of an isolate and then combined in equimolare concentrations. This sample was then processed the same as the patient isolates	fastq	2005-2006_Cal-H3N2.1.1.fastq	2005-2006_Cal-H3N2.2.1.fastq								
SRR4309395		16	16	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_16.1.1.fastq	2007-2008_16.2.1.fastq								
SRR4309396		16	16	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_16.1.1.fastq	Run-1293_16.2.1.fastq								
SRR4309397		17	17	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_17.1.1.fastq	2007-2008_17.2.1.fastq								
SRR4309398		17	17	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_17.1.1.fastq	Run-1293_17.2.1.fastq								
SRR4309399		18	18	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_18.1.1.fastq	2007-2008_18.2.1.fastq								
SRR4309400		18	18	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_18.1.1.fastq	Run-1293_18.2.1.fastq								
SRR4309401		19	19	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_19.1.1.fastq	2007-2008_19.2.1.fastq								
SRR4309402		19	19	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_19.1.1.fastq	Run-1293_19.2.1.fastq								
SRR4298709		20	20	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_20.1.1.fastq	Run-1293_20.2.1.fastq								
SRR4309404		22	22	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_22.1.1.fastq	2007-2008_22.2.1.fastq								
SRR4309405		22	22	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_22.1.1.fastq	Run-1293_22.2.1.fastq								
SRR4298711		23	23	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_23.1.1.fastq	Run-1293_23.2.1.fastq								
SRR4309374		4	4	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_4.1.1.fastq	2007-2008_4.2.1.fastq								
SRR4309375		4	4	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_4.1.1.fastq	Run-1293_4.2.1.fastq								
SRR4298713		24	24	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_24.1.1.fastq	Run-1293_24.2.1.fastq								
SRR4309408		25	25	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_25.1.1.fastq	2007-2008_25.2.1.fastq								
SRR4309409		25	25	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_25.1.1.fastq	Run-1293_25.2.1.fastq								
SRR4309410		26	26	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_26.1.1.fastq	2007-2008_26.2.1.fastq								
SRR4309411		26	26	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_26.1.1.fastq	Run-1293_26.2.1.fastq								
SRR4309412		27	27	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_27.1.1.fastq	2007-2008_27.2.1.fastq								
SRR4309413		27	27	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_27.1.1.fastq	Run-1293_27.1.2.fastq	Run-1293_27.2.1.fastq	Run-1293_27.2.2.fastq						
SRR4309414		28	28	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_28.1.1.fastq	2007-2008_28.2.1.fastq								
SRR4309415		28	28	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_28.1.1.fastq	Run-1293_28.1.2.fastq	Run-1293_28.2.1.fastq	Run-1293_28.2.2.fastq						
SRR4309419		31	31	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_31.1.1.fastq	2007-2008_31.2.1.fastq								
SRR4309420		31	31	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_31.1.1.fastq	Run-1293_31.2.1.fastq								
SRR4309416		29	29	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_29.1.1.fastq	2007-2008_29.2.1.fastq								
SRR4309417		29	29	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_29.1.1.fastq	Run-1293_29.2.1.fastq								
SRR4298719		30	30	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_30.1.1.fastq	Run-1293_30.2.1.fastq								
SRR4309421		33	33	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_33.1.1.fastq	2007-2008_33.2.1.fastq								
SRR4309422		33	33	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_33.1.1.fastq	Run-1293_33.2.1.fastq								
SRR4309423		34	34	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_34.1.1.fastq	2007-2008_34.2.1.fastq								
SRR4309424		34	34	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_34.1.1.fastq	Run-1293_34.2.1.fastq								
SRR4309376		5	5	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_5.1.1.fastq	2007-2008_5.2.1.fastq								
SRR4309377		5	5	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_5.1.1.fastq	Run-1293_5.2.1.fastq								
SRR4298724		36	36	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_36.1.1.fastq	Run-1304_36.2.1.fastq								
SRR4298725		37	37	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_37.1.1.fastq	Run-1304_37.2.1.fastq								
SRR4298726		38	38	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_38.1.1.fastq	Run-1304_38.2.1.fastq								
SRR4309428		39	39	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_39.1.1.fastq	2007-2008_39.2.1.fastq								
SRR4309429		39	39	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_39.1.1.fastq	Run-1293_39.2.1.fastq								
SRR4298728		40	40	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_40.1.1.fastq	Run-1293_40.2.1.fastq								
SRR4309431		41	41	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_41.1.1.fastq	2007-2008_41.2.1.fastq								
SRR4309432		41	41	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_41.1.1.fastq	Run-1293_41.2.1.fastq								
SRR4309433		42	42	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_42.1.1.fastq	2007-2008_42.2.1.fastq								
SRR4309434		42	42	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_42.1.1.fastq	Run-1293_42.2.1.fastq								
SRR4309435		43	43	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_43.1.1.fastq	2007-2008_43.2.1.fastq								
SRR4309436		43	43	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_43.1.1.fastq	Run-1293_43.2.1.fastq								
SRR4298732		44	44	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_44.1.1.fastq	Run-1304_44.2.1.fastq								
SRR4309438		46	46	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_46.1.1.fastq	2007-2008_46.2.1.fastq								
SRR4309439		46	46	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_46.1.1.fastq	Run-1293_46.2.1.fastq								
SRR4309378		6	6	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_6.1.1.fastq	2007-2008_6.2.1.fastq								
SRR4309379		6	6	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_6.1.1.fastq	Run-1293_6.2.1.fastq								
SRR4309440		7	7	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_7.1.1.fastq	2007-2008_7.2.1.fastq								
SRR4309441		7	7	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_7.1.1.fastq	Run-1293_7.2.1.fastq								
SRR4309442		8	8	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_8.1.1.fastq	2007-2008_8.2.1.fastq								
SRR4309443		8	8	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_8.1.1.fastq	Run-1293_8.2.1.fastq								
SRR4309444		10	10	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_10.1.1.fastq	2007-2008_10.2.1.fastq								
SRR4309445		10	10	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_10.1.1.fastq	Run-1293_10.2.1.fastq								
SRR4309446		11	11	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_11.1.1.fastq	2007-2008_11.2.1.fastq								
SRR4309447		11	11	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_11.1.1.fastq	Run-1304_11.2.1.fastq								
SRR4298739		12	12	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_12.1.1.fastq	2007-2008_12.2.1.fastq								
SRR4309449		12	12	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_12.1.1.fastq	Run-1304_12.2.1.fastq								
SRR4309450		47	47	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_47.1.1.fastq	2007-2008_47.2.1.fastq								
SRR4309451		47	47	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_47.1.1.fastq	Run-1293_47.2.1.fastq								
